322: 0	734	0.206724
323: 1	553	0.207277
324: 0	756	0.208033
325: 1	534	0.208568
326: 0	764	0.209332
327: 1	498	0.209831
328: 0	737	0.210568
329: 1	552	0.211120
330: 0	767	0.211888
331: 1	520	0.212409
332: 0	768	0.213177
333: 1	521	0.213698
334: 0	767	0.214466
335: 1	522	0.214988
336: 0	787	0.215775
337: 1	503	0.216279
338: 0	943	0.217222
339: 1	501	0.217724
340: 0	788	0.218512
341: 1	528	0.219041
342: 0	769	0.219810
343: 1	520	0.220330
344: 0	768	0.221099
345: 1	521	0.221620
346: 0	788	0.222408
347: 1	501	0.222910
348: 0	766	0.223676
349: 1	495	0.224172
350: 0	803	0.224975
351: 1	485	0.225461
352: 0	792	0.226253
353: 1	497	0.226751
354: 0	790	0.227542
355: 1	498	0.228040
356: 0	822	0.228862
357: 1	520	0.229383
358: 0	788	0.230172
359: 1	500	0.230672
360: 0	788	0.231460
361: 1	527	0.231988
362: 0	792	0.232780
363: 1	524	0.233305
364: 0	785	0.234090
365: 1	502	0.234593
366: 0	817	0.235411
367: 1	499	0.235910
368: 0	788	0.236699
369: 1	551	0.237251
370: 0	757	0.238009
371: 1	636	0.238645
372: 0	821	0.239467
373: 1	495	0.239962
374: 0	782	0.240744
375: 1	534	0.241279
376: 0	775	0.242054
377: 1	512	0.242566
378: 0	787	0.243353
379: 1	502	0.243856
380: 0	796	0.244653
381: 1	520	0.245173
382: 0	768	0.245941
383: 1	520	0.246461
384: 0	768	0.247230
385: 1	520	0.247751
386: 0	736	0.248487
387: 1	553	0.249041
388: 0	797	0.249839
389: 1	492	0.250331
390: 0	785	0.251117
391: 1	529	0.251647
392: 0	790	0.252437
393: 1	497	0.252935
394: 0	769	0.253705
395: 1	520	0.254225
396: 0	789	0.255014
397: 1	499	0.255514
398: 0	821	0.256335
399: 1	469	0.256804
400: 0	766	0.257571
401: 1	521	0.258093
402: 0	840	0.258933
403: 1	450	0.259384
404: 0	785	0.260169
405: 1	502	0.260672
406: 0	796	0.261468
407: 1	494	0.261963
408: 0	815	0.262778
409: 1	473	0.263251
410: 0	794	0.264046
411: 1	496	0.264542
412: 0	791	0.265334
413: 1	497	0.265832
414: 0	790	0.266623
415: 1	495	0.267118
416: 0	793	0.267911
417: 1	498	0.268410
418: 0	821	0.269231
419: 1	519	0.269751
420: 0	769	0.270520
421: 1	520	0.271040
422: 0	821	0.271861
423: 1	469	0.272331
424: 0	787	0.273118
425: 1	502	0.273621
426: 0	786	0.274407
427: 1	503	0.274910
428: 0	785	0.275696
429: 1	502	0.276198
430: 0	807	0.277006
431: 1	482	0.277488
432: 0	774	0.278263
433: 1	567	0.278830
434: 0	763	0.279594
435: 1	526	0.280121
436: 0	846	0.280967
437: 1	495	0.281462
438: 0	793	0.282255
439: 1	521	0.282777
440: 0	767	0.283544
441: 1	549	0.284094
442: 0	812	0.284906
443: 1	502	0.285409
444: 0	839	0.286248
445: 1	502	0.286751
446: 0	765	0.287516
447: 1	551	0.288067
448: 0	822	0.288889
449: 1	492	0.289382
450: 0	763	0.290146
451: 1	527	0.290673
452: 0	771	0.291445
453: 1	516	0.291961
454: 0	740	0.292702
455: 1	550	0.293252
456: 0	790	0.294043
457: 1	497	0.294541
458: 0	843	0.295384
